Restrição de Atendimento;Escola;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Dependência Administrativa;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ASSOC PROT ORIENT AOS EXCEPCIONAIS;33008159;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOMINGOS VIANA, S/N PARQUE TURF CLUB. 28013-085 Campos dos Goytacazes - RJ.";(22) 27333833;Privada;Filantrópica;Não;Sim;Escola sem matrícula de escolarização;;"Atendimento Educacional Especializado, Atividade Complementar";-21.76798;-41.31208
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP BRIZOLAO 144 PROFESSORA CARMEM SYLVIA CARNEIRO;33008175;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA EDGARD MONTEIRO, S/N PARQUE ELDORADO. 28090-100 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-21.7164;-41.30849
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EXTERNATO CAMPISTA;33008205;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA DOUTOR BEDA, 112/118 PARQUE ROSARIO. 28027-818 Campos dos Goytacazes - RJ.";(22) 27331223;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.76998;-41.32253
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUC FELICIANO AZEVEDO;33008213;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA BENTA PEREIRA, 83 77. CENTRO. 28035-290 Campos dos Goytacazes - RJ.";(22) 27230882;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.75683;-41.32902
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA;33008221;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA SALVADOR CORREIA, 139 CENTRO. 28035-310 Campos dos Goytacazes - RJ.";(22) 27262700;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional";;-21.75545;-41.33101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUC SAO GERALDO;33008230;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Privada;"RUA NAZARIO PEREIRA GOMES, 87 PARQUE GUARUS. 28070-205 Campos dos Goytacazes - RJ.";(22) 27228112;Privada;Filantrópica;Não;Sim;Entre 201 e 500 matrículas de escolarização;"Educação Infantil, Ensino Fundamental, Ensino Médio";;-21.72744;-41.32467
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL MUNICIPAL DO SINDICATO DOS TRABALHADORES NA INDUSTRIA DO ACUCAR DE CAMPOS;33008248;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"RUA LACERDA SOBRINHO, 114 CENTRO. 28010-076 Campos dos Goytacazes - RJ.";(22) 999570715;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";;-21.75763;-41.32345
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL 29 DE MAIO;33008256;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA VISCONDE DE ALVARENGA, 0 PECUARIA. 28053-000 Campos dos Goytacazes - RJ.";(22) 999350427;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Fundamental, Educação de Jovens Adultos";Atendimento Educacional Especializado;-21.7431982;-41.3446258
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFESSORA OLGA LINHARES CORREA;33008264;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA SENADOR JOSE CARLOS PEREIRA PINTO, 751 CALABOUCO. 28083-101 Campos dos Goytacazes - RJ.";;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-21.73971;-41.31387
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CIEP 056 DOUTOR CUSTODIO SIQUEIRA;33008272;RJ;Campos dos Goytacazes;Urbana;A escola não está em área de localização diferenciada;Pública;"AVENIDA SENADOR JOSE CARLOS PEREIRA PINTO, 500 CALABOUCO. 28083-101 Campos dos Goytacazes - RJ.";(22) 27348181;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;"Ensino Médio, Educação de Jovens Adultos";;-21.7372583333333;-41.3141483333333
